site,edition,classification,t,n,m,grade,location,stage,note,source_pdf_page,source_site,raw_line,extract_method,needs_review
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T1,N2,M0,Any,Any,IV,"source_page=57; extract_method=tnm_stage; extra_factors/raw_extra=1. Diepgen TL, Mahler V. The epidemiology of skin cancer. Br",57,Cutaneous Carcinoma of the Head and Neck,"T1 N2 M0 IV 1. Diepgen TL, Mahler V. The epidemiology of skin cancer. Br",tnm_stage,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T2,N2,M0,Any,Any,IV,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV | J Dermatol. Apr 2002;146 Suppl 61(s61):1-6.; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,T2 N2 M0 IV J Dermatol. Apr 2002;146 Suppl 61(s61):1-6.,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T3,N2,M0,Any,Any,IV,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV | 2. Housman TS, Feldman SR, Williford PM, et al. Skin cancer is; duplicate_source_page=57",57,Cutaneous Carcinoma of the Head and Neck,"T3 N2 M0 IV 2. Housman TS, Feldman SR, Williford PM, et al. Skin cancer is",stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,Any,N3,M0,Any,Any,IV,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV | among the most costly of all cancers to treat for the Medicare popu-; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,Any T N3 M0 IV among the most costly of all cancers to treat for the Medicare popu-,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T4,Any,M0,Any,Any,IV,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,T4 Any N M0 IV,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,Any,Any,M1,Any,Any,IV,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV | 3. Alam M, Ratner D. Cutaneous squamous-cell carcinoma. N Engl; duplicate_source_page=57",57,Cutaneous Carcinoma of the Head and Neck,"Any T Any N M1 IV 3. Alam M, Ratner D. Cutaneous squamous-cell carcinoma. N Engl",stage_carried,YES
Appendix - carcinoma,AJCC8,any,T3,N0,M0,Any,Any,IIA,source_page=65; extract_method=tnm_stage,65,Appendix - Carcinoma,T3 N0 M0 IIA,tnm_stage,check
Appendix - carcinoma,AJCC8,any,T4a,N0,M0,Any,Any,IIA,source_page=65; extract_method=stage_carried; extra_factors/raw_extra=IIB,65,Appendix - Carcinoma,T4a N0 M0 IIB,stage_carried,YES
Appendix - carcinoma,AJCC8,any,T4a,N0,M0,Any,Any,IIB,source_page=65; extract_method=tnm_stage,65,Appendix - Carcinoma,T4a N0 M0 IIB,tnm_stage,check
Appendix - carcinoma,AJCC8,any,T4,N1,M0,Any,Any,IIB,source_page=65; extract_method=stage_carried; extra_factors/raw_extra=IIIB,65,Appendix - Carcinoma,T4 N1 M0 IIIB,stage_carried,YES
Appendix - carcinoma,AJCC8,any,T4,N1,M0,Any,Any,IIIB,source_page=65; extract_method=tnm_stage,65,Appendix - Carcinoma,T4 N1 M0 IIIB,tnm_stage,check
Appendix - carcinoma,AJCC8,any,Any,N2,M0,Any,Any,IIIB,source_page=65; extract_method=stage_carried; extra_factors/raw_extra=IIIC,65,Appendix - Carcinoma,Any T N2 M0 IIIC,stage_carried,YES
Appendix - carcinoma,AJCC8,any,Any,N2,M0,Any,Any,IIIC,source_page=65; extract_method=tnm_stage,65,Appendix - Carcinoma,Any T N2 M0 IIIC,tnm_stage,check
Appendix - carcinoma,AJCC8,any,Any,Any,M1b,Any,Any,IIIC,source_page=65; extract_method=stage_carried; extra_factors/raw_extra=G1 | IVA,65,Appendix - Carcinoma,Any T Any N M1b G1 IVA,stage_carried,YES
Appendix - carcinoma,AJCC8,any,Any,Any,M1b,G1,Any,IVA,source_page=65; extract_method=tnm_extra_stage; duplicate_source_page=65,65,Appendix - Carcinoma,Any T Any N M1b G1 IVA,tnm_extra_stage,check
Ampulla of Vater,AJCC8,any,T1a,N0,M0,Any,Any,IA,source_page=77; extract_method=tnm_stage,77,Ampulla of Vater,T1a N0 M0 IA,tnm_stage,check
Ampulla of Vater,AJCC8,any,T3b,N0,M0,Any,Any,IA,source_page=77; extract_method=stage_carried; extra_factors/raw_extra=IIB,77,Ampulla of Vater,T3b N0 M0 IIB,stage_carried,YES
Ampulla of Vater,AJCC8,any,T3b,N0,M0,Any,Any,IIB,source_page=77; extract_method=tnm_stage,77,Ampulla of Vater,T3b N0 M0 IIB,tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,TX|T0,NX|N0|N1,M1,Any,Any,IV,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,"TX, T0 NX, N0, N1 M1 IV",tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T1,N0,M0,Any,Any,IV,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=I,81,Neuroendocrine Tumors of the Stomach,T1 N0 M0 I,stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,T1 N0 M0 I,tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T1,N1,M0,Any,Any,I,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=III,81,Neuroendocrine Tumors of the Stomach,T1 N1 M0 III,stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T1,N1,M0,Any,Any,III,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,T1 N1 M0 III,tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T2,N1,M0,Any,Any,III,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=III; duplicate_source_page=81,81,Neuroendocrine Tumors of the Stomach,T2 N1 M0 III,stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T2,NX|N0|N1,M1,Any,Any,III,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=IV,81,Neuroendocrine Tumors of the Stomach,"T2 NX, N0, N1 M1 IV",stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T2,NX|N0|N1,M1,Any,Any,IV,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,"T2 NX, N0, N1 M1 IV",tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,N0,M0,Any,Any,IV,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=II,81,Neuroendocrine Tumors of the Stomach,T3 N0 M0 II,stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,N0,M0,Any,Any,II,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,T3 N0 M0 II,tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,NX|N0|N1,M1,Any,Any,II,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=IV,81,Neuroendocrine Tumors of the Stomach,"T3 NX, N0, N1 M1 IV",stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,NX|N0|N1,M1,Any,Any,IV,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,"T3 NX, N0, N1 M1 IV",tnm_stage,check
Neuroendocrine Tumors of the Stomach,AJCC8,any,T4,N1,M0,Any,Any,IV,source_page=81; extract_method=stage_carried; extra_factors/raw_extra=III,81,Neuroendocrine Tumors of the Stomach,T4 N1 M0 III,stage_carried,YES
Neuroendocrine Tumors of the Stomach,AJCC8,any,T4,N1,M0,Any,Any,III,source_page=81; extract_method=tnm_stage,81,Neuroendocrine Tumors of the Stomach,T4 N1 M0 III,tnm_stage,check
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,NX|N0|,M1,Any,Any,IV,source_page=84; extract_method=tnm_stage,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T2 NX, N0, M1 IV",tnm_stage,check
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T3,N0,M0,Any,Any,IV,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=II,84,Neuroendocrine Tumors of the Jejunum and Ileum,T3 N0 M0 II,stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T3,N0,M0,Any,Any,II,source_page=84; extract_method=tnm_stage,84,Neuroendocrine Tumors of the Jejunum and Ileum,T3 N0 M0 II,tnm_stage,check
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T3,N1|N2,M0,Any,Any,II,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=III,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T3 N1, N2 M0 III",stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T3,N1|N2,M0,Any,Any,III,source_page=84; extract_method=tnm_stage,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T3 N1, N2 M0 III",tnm_stage,check
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,TX|T0,NX|N0|,M1,Any,Any,III,"source_page=84; extract_method=stage_carried; extra_factors/raw_extra=IV | MIB1 antibody; % of 500-2,000 tumor cells in areas of highest",84,Neuroendocrine Tumors of the Jejunum and Ileum,"TX, T0 NX, N0, M1 IV MIB1 antibody; % of 500-2,000 tumor cells in areas of highest",stage_carried,YES
