site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N3,"Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−); or in a single ipsilateral node larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral or bilateral nodes, any with ENE(+); or a single contralateral node of any size and ENE(+)",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N3a,Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,N,N3b,"Metastasis in any node(s) and clinically overt ENE(+) indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L). Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+) Pathological N (pN)-Oropharynx (p16-) and Hypopharynx",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasal Cavity and Paranasal Sinuses,AJCC8,clinical,M,M0,No distant metastasis (no pathologic M0; use clinical M to complete stage group),,strict_table_extracted_v1_6,47,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Nasal Cavity and Paranasal Sinuses,AJCC8,clinical,M,M1,Distant metastasis,,strict_table_extracted_v1_6,47,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Larynx,AJCC8,pathological,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,pathological,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
