edition,source_pdf_page,site,source_site,line_no,raw_line,columns_json
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,43,"Floor of the Mouth. This is a semilunar space overlying the ulcer base (A) to the deepest area (B), as well as from the sur-","[""Floor of the Mouth. This is a semilunar space overlying the"", ""ulcer base (A) to the deepest area (B), as well as from the sur-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,44,"mylohyoid and hyoglossus muscles, extending from the inner face of the most lateral extent of the invasive carcinoma (C) to","[""mylohyoid and hyoglossus muscles, extending from the inner"", ""face of the most lateral extent of the invasive carcinoma (C) to""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,49,FIGURE 3.1. Characteristics of lip and oral cavity tumors. (a) Exophytic. (b) Ulcerated. (c) Endophytic.,"[""FIGURE 3.1. Characteristics of lip and oral cavity tumors. (a) Exophytic. (b) Ulcerated. (c) Endophytic.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,53,30 American Joint Committee on Cancer • 2010,"[""30"", ""American Joint Committee on Cancer • 2010""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,58,"In order to view this proof accurately, the Overprint Preview Option must be","[""In order to view this proof accurately, the Overprint Preview Option must be""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,59,set to Always in Acrobat Professional or Adobe Reader. Please contact your,"[""set to Always in Acrobat Professional or Adobe Reader. Please contact your""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,60,Customer Service Representative if you have questions about finding this option.,"[""Customer Service Representative if you have questions about finding this option.""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,1,Job Name: -- /381449t,"[""Job Name: --"", ""/381449t""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,6,the deepest area (D). Depth of tumor invasion (mm) should Extracapsular spread (ECS) has been recognized to worsen,"[""the deepest area (D). Depth of tumor invasion (mm) should"", ""Extracapsular spread (ECS) has been recognized to worsen""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,7,be recorded. Depth is not used for T staging. the adverse outcome associated with nodal metastasis. The,"[""be recorded. Depth is not used for T staging."", ""the adverse outcome associated with nodal metastasis. The""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,8,Although the grade of the tumor does not enter into staging presence of ECS can be diagnosed clinically by the presence,"[""Although the grade of the tumor does not enter into staging"", ""presence of ECS can be diagnosed clinically by the presence""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,9,"of the tumor, it should be recorded. The pathologic descrip- of a “matted” mass of nodes, fixity to overlying skin, adjacent","[""of the tumor, it should be recorded. The pathologic descrip-"", ""of a “matted” mass of nodes, fixity to overlying skin, adjacent""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,10,"tion of any lymphadenectomy specimen should describe the soft tissue, or clinical signs of cranial nerve invasion. Radio-","[""tion of any lymphadenectomy specimen should describe the"", ""soft tissue, or clinical signs of cranial nerve invasion. Radio-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,11,"size, number, and level of involved lymph node(s) and the logic imaging is capable of detecting clinically undetectable","[""size, number, and level of involved lymph node(s) and the"", ""logic imaging is capable of detecting clinically undetectable""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,12,"presence or absence of extracapsular extension. ECS, but histopathologic examination is the only reliable","[""presence or absence of extracapsular extension."", ""ECS, but histopathologic examination is the only reliable""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,13,technique currently available for detecting microscopic ECS.,"[""technique currently available for detecting microscopic ECS.""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,14,Regional Lymph Nodes. Mucosal cancer of the oral cav- Radiologic signs of ECS include amorphous spiculated mar-,"[""Regional Lymph Nodes. Mucosal cancer of the oral cav-"", ""Radiologic signs of ECS include amorphous spiculated mar-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,15,ity may spread to regional lymph node(s). Tumors of each gins of a metastatic node and stranding of the perinodal,"[""ity may spread to regional lymph node(s). Tumors of each"", ""gins of a metastatic node and stranding of the perinodal""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,16,anatomic site have their own predictable patterns of regional soft tissue in previously untreated patients. The absence or,"[""anatomic site have their own predictable patterns of regional"", ""soft tissue in previously untreated patients. The absence or""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,17,"spread. The risk of regional metastasis is generally related to presence of clinical/radiologic ECS is designated E- or E+, 3","[""spread. The risk of regional metastasis is generally related to"", ""presence of clinical/radiologic ECS is designated E- or E+,"", ""3""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,18,"the T category and, probably more important, to the depth of respectively. Surgically resected metastatic nodes should be","[""the T category and, probably more important, to the depth of"", ""respectively. Surgically resected metastatic nodes should be""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,19,infiltration of the primary tumor. Cancer of the lip carries a examined for the presence and extent of ECS. Gross ECS (Eg),"[""infiltration of the primary tumor. Cancer of the lip carries a"", ""examined for the presence and extent of ECS. Gross ECS (Eg)""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,20,low metastatic risk and initially involves adjacent submental is defined as tumor apparent to the naked eye beyond the con-,"[""low metastatic risk and initially involves adjacent submental"", ""is defined as tumor apparent to the naked eye beyond the con-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,21,"and submandibular nodes, then jugular nodes. Cancers of the fines of the nodal capsule. Microscopic ECS (Em) is defined","[""and submandibular nodes, then jugular nodes. Cancers of the"", ""fines of the nodal capsule. Microscopic ECS (Em) is defined""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,22,hard palate and alveolar ridge likewise have a low metastatic as the presence of metastatic tumor beyond the capsule of the,"[""hard palate and alveolar ridge likewise have a low metastatic"", ""as the presence of metastatic tumor beyond the capsule of the""]"
