map_id,v5_term,v5_soc,v5_page,v6_term,v6_soc,v6_page,map_type,change_flag,changed_fields,possible_counterpart_term,mapping_note
M0040,Anxiety,Psychiatric disorders,115,Anxiety,Psychiatric disorders,234,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0041,Aortic injury,"Injury, poisoning and procedural complications",70,Aortic injury,"Injury, poisoning and procedural complications",133,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0042,Aortic valve disease,Cardiac disorders,6,Aortic valve disease,Cardiac disorders,10,exact_term,Same,-,-,Exact same AE term in both versions.
M0043,Aphonia,Nervous system disorders,104,Aphonia,"Respiratory, thoracic and mediastinal disorders",267,exact_term,Changed,soc,-,Exact same AE term in both versions.
M0044,-,-,-,Aplastic anemia,Blood and lymphatic system disorders,4,v6_only,v6 only,-,-,-
M0045,Apnea,"Respiratory, thoracic and mediastinal disorders",131,Apnea,"Respiratory, thoracic and mediastinal disorders",268,exact_term,Same,-,-,Exact same AE term in both versions.
M0046,Appendicitis,Infections and infestations,53,Appendicitis,Infections and infestations,103,exact_term,Same,-,-,Exact same AE term in both versions.
M0047,Appendicitis perforated,Infections and infestations,53,Appendicitis perforated,Infections and infestations,104,exact_term,Same,-,-,Exact same AE term in both versions.
M0048,Arachnoiditis,Nervous system disorders,104,Arachnoiditis,Nervous system disorders,207,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0049,Arterial injury,"Injury, poisoning and procedural complications",70,Arterial injury,"Injury, poisoning and procedural complications",134,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0050,Arterial thromboembolism,Vascular disorders,152,Arterial thromboembolism,Vascular disorders,306,exact_term,Changed,note,-,Exact same AE term in both versions.
M0051,Arteritis infective,Infections and infestations,53,Arteritis infective,Infections and infestations,104,exact_term,Same,-,-,Exact same AE term in both versions.
M0052,Arthralgia,Musculoskeletal and connective tissue disorders,95,Arthralgia,Musculoskeletal and connective tissue disorders,183,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0053,Arthritis,Musculoskeletal and connective tissue disorders,95,Arthritis,Musculoskeletal and connective tissue disorders,184,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0054,Ascites,Gastrointestinal disorders,25,Ascites,Gastrointestinal disorders,47,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0055,-,-,-,Aseptic meningitis,Infections and infestations,104,v6_only,v6 only,-,-,-
M0056,Aspartate aminotransferase increased,Investigations,84,Aspartate aminotransferase increased,Investigations,163,exact_term,Changed,g1; g2; g3; g4; note,-,Exact same AE term in both versions.
M0057,Aspiration,"Respiratory, thoracic and mediastinal disorders",131,Aspiration,"Respiratory, thoracic and mediastinal disorders",268,exact_term,Changed,g1,-,Exact same AE term in both versions.
M0058,Asystole,Cardiac disorders,6,Asystole,Cardiac disorders,10,exact_term,Changed,g1; g3,-,Exact same AE term in both versions.
M0059,Ataxia,Nervous system disorders,105,Ataxia,Nervous system disorders,207,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0060,Atelectasis,"Respiratory, thoracic and mediastinal disorders",131,Atelectasis,"Respiratory, thoracic and mediastinal disorders",268,exact_term,Same,-,-,Exact same AE term in both versions.
M0061,Atrial fibrillation,Cardiac disorders,6,Atrial fibrillation,Cardiac disorders,10,exact_term,Changed,g2; g4,-,Exact same AE term in both versions.
M0062,Atrial flutter,Cardiac disorders,6,Atrial flutter,Cardiac disorders,11,exact_term,Changed,g4,-,Exact same AE term in both versions.
M0063,Atrioventricular block complete,Cardiac disorders,6,Atrioventricular block complete,Cardiac disorders,11,exact_term,Same,-,-,Exact same AE term in both versions.
M0064,Atrioventricular block first degree,Cardiac disorders,7,Atrioventricular block first degree,Cardiac disorders,11,exact_term,Same,-,-,Exact same AE term in both versions.
M0065,Autoimmune disorder,Immune system disorders,51,Autoimmune disorder,Immune system disorders,100,exact_term,Changed,note,-,Exact same AE term in both versions.
M0066,-,-,-,Autonomic neuropathy,Nervous system disorders,207,v6_only,v6 only,-,-,-
