term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Allergic rhinitis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,"A disorder characterized by an inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea and itching.",-,131
Apnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,-,Present; medical intervention indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by cessation of breathing.,-,131
Aspiration,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Altered eating habits; coughing or choking episodes after eating or swallowing; medical intervention indicated (e.g., suction or oxygen)","Dyspnea and pneumonia symptoms (e.g., aspiration pneumonia); hospitalization indicated; unable to aliment orally",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by inhalation of solids or liquids into the lungs.,-,131
Atelectasis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., dyspnea, cough); medical intervention indicated (e.g., chest physiotherapy, suctioning); bronchoscopic suctioning","Supplemental oxygen indicated; hospitalization or elective operative intervention indicated (e.g., stent, laser)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by the collapse of part or the entire lung.,-,131
Bronchial fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the bronchus and another organ or anatomic site.,-,131
Bronchial obstruction,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., mild wheezing); endoscopic evaluation indicated; radiographic evidence of atelectasis/lobar collapse; medical management indicated (e.g., steroids, bronchodilators)","Shortness of breath with stridor; endoscopic intervention indicated (e.g., laser, stent placement)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,"A disorder characterized by blockage of a bronchus passage, most often by bronchial secretions and exudates.",-,132
Bronchial stricture,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., rhonchi or wheezing) but without respiratory distress; medical intervention indicated (e.g., steroids, bronchodilators)","Shortness of breath with stridor; endoscopic intervention indicated (e.g., laser, stent placement)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by a narrowing of the bronchial tube.,-,132
Bronchopleural fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Hospitalization; invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between a bronchus and the pleural cavity.,-,132
Bronchopulmonary hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; invasive intervention not indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the bronchial wall and/or lung parenchyma.,-,132
Bronchospasm,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Limiting self care ADL; supplemental oxygen indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by a sudden contraction of the smooth muscles of the bronchial wall.,-,132
Chylothorax,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., fat-restricted diet); thoracentesis or tube drainage indicated",Severe symptoms; elective operative intervention indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by milky pleural effusion (abnormal collection of fluid) resulting from accumulation of lymph fluid in the pleural cavity.,-,133
Cough,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; nonprescription intervention indicated,"Moderate symptoms, medical intervention indicated; limiting instrumental ADL",Severe symptoms; limiting self care ADL,-,-,"A disorder characterized by sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs and usually accompanied by a distinctive sound.",-,133
Dyspnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Shortness of breath with moderate exertion,Shortness of breath with minimal exertion; limiting instrumental ADL,Shortness of breath at rest; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an uncomfortable sensation of difficulty breathing.,-,133
Epistaxis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,"Moderate symptoms; medical intervention indicated (e.g., nasal packing, cauterization; topical vasoconstrictors)","Transfusion; invasive intervention indicated (e.g., hemostasis of bleeding site)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the nose.,-,133
Hiccups,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated; limiting instrumental ADL,Severe symptoms; interfering with sleep; limiting self care ADL,-,-,A disorder characterized by repeated gulp sounds that result from an involuntary opening and closing of the glottis. This is attributed to a spasm of the diaphragm.,-,133
Hoarseness,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild or intermittent voice change; fully understandable; self-resolves,Moderate or persistent voice changes; may require occasional repetition but understandable on telephone; medical evaluation indicated,Severe voice changes including predominantly whispered speech,-,-,A disorder characterized by harsh and raspy voice arising from or spreading to the larynx.,-,133
Hypoxia,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,"Decreased oxygen saturation with exercise (e.g., pulse oximeter <88%); intermittent supplemental oxygen","Decreased oxygen saturation at rest (e.g., pulse oximeter <88% or PaO2 ≤55 mm Hg)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a decrease in the level of oxygen in the body.,-,134
Laryngeal edema,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., dexamethasone, epinephrine, antihistamines)",Stridor; respiratory distress; hospitalization indicated,"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by swelling due to an excessive accumulation of fluid in the larynx.,-,134
Laryngeal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the larynx and another organ or anatomic site.,-,134
Laryngeal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild cough or trace hemoptysis; laryngoscopic findings,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,"Life-threatening consequences; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by bleeding from the larynx.,-,134
Laryngeal inflammation,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild sore throat; raspy voice,Moderate sore throat; analgesics indicated,Severe throat pain; endoscopic intervention indicated,-,-,A disorder characterized by an inflammation involving the larynx.,-,134
Laryngeal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Endoscopic findings only; mild discomfort with normal intake,"Moderate pain, analgesics indicated; altered oral intake; limiting instrumental ADL",Severe pain; severely altered eating/swallowing; medical intervention indicated,"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by ulceration or inflammation involving the mucous membrane of the larynx.,-,134
Laryngeal obstruction,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL","Limiting self care ADL; stridor; endoscopic intervention indicated (e.g., stent, laser)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by blockage of the laryngeal airway.,-,135
Laryngeal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL","Limiting self care ADL; stridor; endoscopic intervention indicated (e.g., stent, laser)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a narrowing of the laryngeal airway.,-,135
Laryngopharyngeal dysesthesia,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; no anxiety; intervention not indicated,"Moderate symptoms; mild anxiety, but no dyspnea; short duration of observation and/or anxiolytic indicated; limiting instrumental ADL",Severe symptoms; dyspnea and swallowing difficulty; limiting self care ADL,Life-threatening consequences,Death,A disorder characterized by an uncomfortable persistent sensation in the area of the laryngopharynx.,-,135
Laryngospasm,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,Transient episode; intervention not indicated,"Recurrent episodes; noninvasive intervention indicated (e.g., breathing technique, pressure point massage)","Persistent or severe episodes associated with syncope; urgent intervention indicated (e.g., fiberoptic laryngoscopy, intubation, botox injection)",Death,A disorder characterized by paroxysmal spasmodic muscular contraction of the vocal cords.,-,135
Mediastinal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated; radiologic evidence only,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the mediastinum.,-,135
Nasal congestion,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,Associated with bloody nasal discharge or epistaxis,-,-,A disorder characterized by obstruction of the nasal passage due to mucosal edema.,-,136
Oropharyngeal pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild pain,Moderate pain; altered oral intake; non-narcotics initiated; topical analgesics initiated,Severe pain; severely altered eating/swallowing; narcotics initiated; requires parenteral nutrition,-,-,A disorder characterized by a sensation of marked discomfort in the oropharynx.,-,136
Pharyngeal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the pharynx and another organ or anatomic site.,-,136
Pharyngeal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the pharynx.,-,136
Pharyngeal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Endoscopic findings only; minimal symptoms with normal oral intake; mild pain but analgesics not indicated,"Moderate pain, analgesics indicated; altered oral intake; limiting instrumental ADL",Severe pain; unable to adequately aliment or hydrate orally; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by ulceration or inflammation involving the mucous membrane of the pharynx.,-,136
Pharyngeal necrosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,-,Inability to aliment adequately by GI tract; invasive intervention indicated; tube feeding or TPN indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the pharynx.,-,136
Pharyngeal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL","Limiting self care ADL; stridor; endoscopic intervention indicated (e.g., stent, laser)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a narrowing of the pharyngeal airway.,-,137
Pharyngolaryngeal pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the pharyngolaryngeal region.,-,137
Pleural effusion,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; intervention indicated (e.g., diuretics or therapeutic thoracentesis)",Symptomatic with respiratory distress and hypoxia; operative intervention including chest tube or pleurodesis indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,"A disorder characterized by an increase in amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough and marked chest discomfort.",-,137
Pleural hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; mild hemorrhage confirmed by thoracentesis,Symptomatic or associated with pneumothorax; chest tube drainage indicated,>1000 ml of blood evacuated; persistent bleeding (150-200 ml/hr for 2 - 4 hr); persistent transfusion indicated; elective operative intervention indicated; hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the pleural cavity.,-,137
Pleuritic pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the pleura.,-,137
Pneumonitis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL; oxygen indicated,"Life-threatening respiratory compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by inflammation focally or diffusely affecting the lung parenchyma.,-,137
Pneumothorax,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; intervention indicated,Sclerosis and/or operative intervention indicated; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by abnormal presence of air in the pleural cavity resulting in the collapse of the lung.,-,138
Postnasal drip,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,"A disorder characterized by excessive mucous secretion in the back of the nasal cavity or throat, causing sore throat and/or coughing.",-,138
Productive cough,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Occasional/minimal production of sputum with cough,Moderate sputum production; limiting instrumental ADL,Persistent or copious production of sputum; limiting self care ADL,-,-,A disorder characterized by expectorated secretions upon coughing.,-,138
Pulmonary edema,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Radiologic findings only; minimal dyspnea on exertion,Moderate dyspnea on exertion; medical intervention indicated; limiting instrumental ADL,Severe dyspnea or dyspnea at rest; oxygen indicated; limiting self care ADL,Life-threatening respiratory compromise; urgent intervention or intubation with ventilatory support indicated,Death,A disorder characterized by accumulation of fluid in the lung tissues that causes a disturbance of the gas exchange that may lead to respiratory failure.,-,138
Pulmonary fibrosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Radiologic pulmonary fibrosis <25% of lung volume associated with hypoxia,Evidence of pulmonary hypertension; radiographic pulmonary fibrosis 25 - 50% associated with hypoxia,Severe hypoxia; evidence of right-sided heart failure; radiographic pulmonary fibrosis >50 - 75%,"Life-threatening consequences (e.g., hemodynamic/pulmonary complications); intubation with ventilatory support indicated; radiographic pulmonary fibrosis >75% with severe honeycombing",Death,"A disorder characterized by the replacement of the lung tissue by connective tissue, leading to progressive dyspnea, respiratory failure or right heart failure.",-,138
Pulmonary fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the lung and another organ or anatomic site.,-,138
Pulmonary hypertension,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Minimal dyspnea; findings on physical exam or other evaluation,"Moderate dyspnea, cough; requiring evaluation by cardiac catheterization and medical intervention","Severe symptoms, associated with hypoxia, right heart failure; oxygen indicated","Life-threatening airway consequences; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by an increase in pressure within the pulmonary circulation due to lung or heart disorder.,-,139
Respiratory failure,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,-,-,"Life-threatening consequences; urgent intervention, intubation, or ventilatory support indicated",Death,A disorder characterized by impaired gas exchange by the respiratory system resulting in hypoxia and a decrease in oxygenation of the tissues that may be associated with an increase in arterial levels of carbon dioxide.,-,139
Retinoic acid syndrome,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Fluid retention; <3 kg of weight gain; intervention with fluid restriction and/or diuretics indicated,Moderate signs or symptoms; steroids indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences; ventilatory support indicated,Death,"A disorder characterized by weight gain, dyspnea, pleural and pericardial effusions, leukocytosis and/or renal failure originally described in patients treated with all-trans retinoic acid.",-,139
Rhinorrhea,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Present,-,-,-,-,A disorder characterized by excessive mucous secretions draining from the nose.,-,139
Sinus disorder,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic mucosal crusting; blood-tinged secretions,Symptomatic stenosis or edema/narrowing interfering with airflow; limiting instrumental ADL,Stenosis with significant nasal obstruction; limiting self care ADL,Necrosis of soft tissue or bone; urgent operative intervention indicated,Death,A disorder characterized by involvement of the paranasal sinuses.,-,139
Sinus pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,"A disorder characterized by a sensation of marked discomfort in the face, between the eyes, or upper teeth originating from the sinuses.",-,139
Sleep apnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Snoring and nocturnal sleep arousal without apneic periods,Moderate apnea and oxygen desaturation; excessive daytime sleepiness; medical evaluation indicated; limiting instrumental ADL,Oxygen desaturation; associated with pulmonary hypertension; medical intervention indicated; limiting self care ADL,Cardiovascular or neuropsychiatric symptoms; urgent operative intervention indicated,Death,A disorder characterized by cessation of breathing for short periods during sleep.,-,140
Sneezing,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by the involuntary expulsion of air from the nose.,-,140
Sore throat,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL; limiting ability to swallow,-,-,A disorder characterized by marked discomfort in the throat.,-,140
Stridor,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,-,-,Respiratory distress limiting self care ADL; medical intervention indicated,"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a high pitched breathing sound due to laryngeal or upper airway obstruction.,-,140
Tracheal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the trachea and another organ or anatomic site.,-,140
Tracheal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,"Endoscopic findings only; minimal hemoptysis, pain, or respiratory symptoms",Moderate symptoms; medical intervention indicated; limiting instrumental ADL,Severe pain; hemorrhage or respiratory symptoms; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an inflammation or ulceration involving the mucous membrane of the trachea.,-,140
Tracheal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL","Stridor or respiratory distress limiting self care ADL; invasive intervention indicated (e.g., stent, laser)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a narrowing of the trachea.,-,141
Voice alteration,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Mild or intermittent change from normal voice,Moderate or persistent change from normal voice; still understandable,Severe voice changes including predominantly whispered speech; may require frequent repetition or face-to-face contact for understandability; may require assistive technology,-,-,A disorder characterized by a change in the sound and/or speed of the voice.,-,141
Wheezing,"Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Detectable airway noise with minimal symptoms,Moderate symptoms; medical intervention indicated; limiting instrumental ADL,Severe respiratory symptoms limiting self care ADL; oxygen therapy or hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a high-pitched, whistling sound during breathing. It results from the narrowing or obstruction of the respiratory airways.",-,141
"Respiratory, thoracic and mediastinal disorders - Other, specify","Respiratory, thoracic and mediastinal disorders",CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,141
Alopecia,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Hair loss of <50% of normal for that individual that is not obvious from a distance but only on close inspection; a different hair style may be required to cover the hair loss but it does not require a wig or hair piece to camouflage,Hair loss of ≥50% normal for that individual that is readily apparent to others; a wig or hair piece is necessary if the patient desires to completely camouflage the hair loss; associated with psychosocial impact,-,-,-,A disorder characterized by a decrease in density of hair compared to normal for a given individual at a given age and body location.,-,142
Body odor,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Mild odor; physician intervention not indicated; self care interventions,Pronounced odor; psychosocial impact; patient seeks medical intervention,-,-,-,A disorder characterized by an abnormal body smell resulting from the growth of bacteria on the body.,-,142
Bullous dermatitis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic; blisters covering <10% BSA,Blisters covering 10 - 30% BSA; painful blisters; limiting instrumental ADL,Blisters covering >30% BSA; limiting self care ADL,Blisters covering >30% BSA; associated with fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by inflammation of the skin characterized by the presence of bullae which are filled with fluid.,"If infectious, consider Infections and infestations: Rash pustular or other site-specific Infections and infestations term.",142
Dry skin,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Covering <10% BSA and no associated erythema or pruritus,Covering 10 - 30% BSA and associated with erythema or pruritus; limiting instrumental ADL,Covering >30% BSA and associated with pruritus; limiting self care ADL,-,-,"A disorder characterized by flaky and dull skin; the pores are generally fine, the texture is a papery thin texture.",-,142
Eczema,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; additional medical intervention over baseline not indicated,Moderate; topical or oral intervention indicated; additional medical intervention over baseline indicated,Severe or medically significant but not immediately life-threatening; IV intervention indicated,-,-,"A disorder characterized by skin which becomes itchy, red, inflamed, crusty, thick, scaly, and/or forms blisters.",-,142
Erythema multiforme,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Target lesions covering <10% BSA and not associated with skin tenderness,Target lesions covering 10 - 30% BSA and associated with skin tenderness,Target lesions covering >30% BSA and associated with oral or genital erosions,Target lesions covering >30% BSA; associated with fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by target lesions (a pink-red ring around a pale center).,-,143
Erythroderma,Skin and subcutaneous tissue disorders,CTCAE v5.0,,-,Erythema covering >90% BSA without associated symptoms; limiting instrumental ADL,"Erythema covering >90% BSA with associated symptoms (e.g., pruritus or tenderness); limiting self care ADL",Erythema covering >90% BSA with associated fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by generalized inflammatory erythema and exfoliation. The inflammatory process involves > 90% of the body surface area.,-,143
Fat atrophy,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Covering <10% BSA and asymptomatic,Covering 10 - 30% BSA and associated with erythema or tenderness; limiting instrumental ADL,Covering >30% BSA; associated with erythema or tenderness; limiting self-care ADL,-,-,A disorder characterized by shrinking of adipose tissue.,-,143
Hair color changes,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Present,-,-,-,-,A disorder characterized by change in hair color or loss of normal pigmentation.,-,143
Hair texture abnormal,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Present,-,-,-,-,A disorder characterized by a change in the way the hair feels.,-,143
Hirsutism,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"In women, increase in length, thickness or density of hair in a male distribution that the patient is able to camouflage by periodic shaving, bleaching, or removal of hair","In women, increase in length, thickness or density of hair in a male distribution that requires daily shaving or consistent destructive means of hair removal to camouflage; associated with psychosocial impact",-,-,-,"A disorder characterized by the presence of excess hair growth in women in anatomic sites where growth is considered to be a secondary male characteristic and under androgen control (beard, moustache, chest, abdomen).",-,143
Hyperhidrosis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Limited to one site (palms, soles, or axillae); self care interventions",Involving >1 site; patient seeks medical intervention; associated with psychosocial impact,Associated with electrolyte/hemodynamic imbalance,-,-,A disorder characterized by excessive sweating.,"Synonym: Night sweats, diaphoresis",144
Hyperkeratosis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Present,-,Limiting self-care ADLs,-,-,A disorder characterized by a thickening of the outer layer of the skin.,-,144
Hypertrichosis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Increase in length, thickness or density of hair that the patient is either able to camouflage by periodic shaving or removal of hairs or is not concerned enough about the overgrowth to use any form of hair removal","Increase in length, thickness or density of hair at least on the usual exposed areas of the body [face (not limited to beard/moustache area) plus/minus arms] that requires frequent shaving or use of destructive means of hair removal to camouflage; associated with psychosocial impact",-,-,-,"A disorder characterized by hair density or length beyond the accepted limits of normal in a particular body region, for a particular age or race.",-,144
Hypohidrosis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,-,Symptomatic; limiting instrumental ADL,Increase in body temperature; limiting self care ADL,Heat stroke,Death,A disorder characterized by reduced sweating.,-,144
Lipohypertrophy,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic and covering <10% BSA,Covering 10 - 30% BSA and associated tenderness; limiting instrumental ADL,Covering >30% BSA and associated tenderness and narcotics or NSAIDs indicated; lipohypertrophy; limiting self care ADL,-,-,A disorder characterized by hypertrophy of the subcutaneous adipose tissue at the site of multiple subcutaneous injections of insulin.,-,144
Nail changes,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Present,-,-,-,-,A disorder characterized by a change in the nails.,-,144
Nail discoloration,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only,-,-,-,-,A disorder characterized by a change in the color of the nail plate.,-,145
Nail loss,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic separation of the nail bed from the nail plate or nail loss,Symptomatic separation of the nail bed from the nail plate or nail loss; limiting instrumental ADL,-,-,-,A disorder characterized by loss of all or a portion of the nail.,-,145
Nail ridging,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,-,-,-,-,A disorder characterized by vertical or horizontal ridges on the nails.,-,145
