site,edition,definition_rows,strict_table_rows,fallback_review_rows
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,17,0,17
Urinary Bladder: Urothelial Carcinomas,AJCC7,30,0,30
Urinary Bladder: Urothelial Carcinomas,AJCC8,17,0,17
Uveal Melanoma,AJCC8,31,31,0
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC7,38,0,38
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,21,0,21
Uveal Melanoma – Iris Melanoma,AJCC7,38,0,38
Uveal Melanoma – Iris Melanoma,AJCC8,21,0,21
Vagina,AJCC7,10,0,10
Vagina,AJCC8,16,16,0
Vulva,AJCC7,31,0,31
Vulva,AJCC8,15,13,2
